datasetid;last-checked-date;contact;predecessor;country;iso-region;source-copyrights;data-classification;restricted-comment;related-datasets;discontinued-data;unit-of-measure;publisher-periodicity;title;description;theme;keyword;license;language;timezone;modified;modified_updates_on_metadata_change;modified_updates_on_data_change;data_processed;metadata_processed;publisher;references;records_count;attributions;source_domain;source_domain_title;source_domain_address;source_dataset;oauth_scope;parent_domain;dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat_ap_ch.domain;dcat_ap_ch.rights;inspire.theme;inspire.type;inspire.file_identifier;inspire.hierarchy_level;inspire.hierarchy_level_name;inspire.spatial_resolution;inspire.topologic_consistency;inspire.contact_individual_name;inspire.contact_position;inspire.contact_address;inspire.contact_email;inspire.identification_purpose;inspire.extend_description;inspire.extend_bounding_box_westbound_longitude;inspire.extend_bounding_box_eastbound_longitude;inspire.extend_bounding_box_southbound_latitude;inspire.extend_bounding_box_northbound_latitude;semantic.rml_mapping;semantic.classes;semantic.properties;explore.download_count
the-amount-of-drinking-water-consumption-of-areas-from-all-sources-2014;2018-10-11;;;Saudi Arabia;EMEA;https://www.mewa.gov.sa/en/aboutPortal/Pages/Policy.aspx;Public;;;No;Million Cubic Meter;;Drinking Water Consumption by Region;"<p>This dataset contains Saudi Arabia Drinking Water Consumption by Region for 2014-2016 Data from Ministry of Environment, Water and Agriculture. Follow <a href=""https://datasource.kapsarc.org/"">datasource.kapsarc.org</a> for timely data to advance energy economics research.</p><p>Table 2-18  </p><p><a></a></p>";Water;Consumption;Public Domain;en;;2017-08-22T10:26:01+00:00;;;2018-07-22T12:08:43+00:00;2018-10-11T11:43:56+00:00;Ministry of Environment, Water and Agriculture;https://www.mewa.gov.sa/ar/InformationCenter/OpenData/GeographicData/Pages/home.aspx;39;"""جدول 1-3 : كمية مياه الشرب وعدد المشتركين بالمياه حسب المنطقة لعام 2016م )الكمية بالمليون متر مكعب(""";;;;;;;;;;;;;Annually;;2014-2016;Regional;;;;;;;;;;;;;;;;;;;;;;;;73
saudi-arabia-1st-development-plan-1970-1975;2018-02-18;;;Saudi Arabia;EMEA;http://www.mep.gov.sa/en/contentpolicy/;Public;;;Yes;;;Saudi Arabia Development Plans 1-9;"<p><strong style=""background-color: initial;"">Development Plans</strong></p><p>Saudi Arabia’s development plans are a quinquennial publication that sets forth the national socioeconomic direction. The strategic document outlines the targeted aims to be reached within the next 5 year timeframe. The Plans are designed to be responsive and tailored to national requirements, given changing dynamics both domestically and abroad. Additionally, they are used as a measuring tool to gauge effectiveness of implementation against the aims.</p>";Policies;;Public Domain;en;;2017-08-24T15:27:20+00:00;;;2018-03-13T08:31:30+00:00;2018-03-13T08:31:31+00:00;Ministry of Economy and Planning;https://www.mep.gov.sa/ar/development-plans;1;;;;;;;;;;;;;;Quinquennial;;1390-2014;;;;;;;;;;;;;;;;;;;;;;;;;20
saudi-arabia-driving-licenses-issued-in-the-kingdom-2004-2008;2018-10-17;; Ministry of Interior- General Directorate of Traffic;Saudi Arabia;EMEA;https://www.stats.gov.sa/en/page/45;Public;;;;;Annualy;Driving Licenses Issued By Administrative Area;"<p>This dataset contains Saudi Arabia Driving Licenses Issued By Administrative Area for 1993 - 2016. Data from General Authority for Statistics . Follow <a href=""https://datasource.kapsarc.org/"">datasource.kapsarc.org</a> for timely data to advance energy economics research.</p>";Demography, Transportation;;Public Domain;en;;2017-08-28T08:19:22+00:00;;;2018-08-01T10:59:57+00:00;2018-10-17T10:06:03+00:00;General Authority for Statistics;https://www.stats.gov.sa/en/869-0;336;Table 5-24, Driving Licenses Lssued by Region;;;;;;;;; Ministry of Interior- General Directorate of Traffic;;;;Annually;;1993 - 2016;Country;;;;;;;;;;;;;;;;;;;;;;;;50
kingdoms-imports-2000-2009;2018-10-17;;;Saudi Arabia;EMEA;https://www.stats.gov.sa/en/page/45;Public;;;;Multiple Units;Annualy;Weight and Value of Imports;"<p>This dataset contains Saudi Arabia Weight and Value of Imports for 1991 - 2016. Data from General Authority for Statistics. Follow <a href=""https://datasource.kapsarc.org/"">datasource.kapsarc.org</a> for timely data to advance energy economics research.</p><p>Weight in 1000 tons</p><p>Value in Millions SR</p><p>2016*: Preliminary Data</p>";Economy, Trade;Imports;Public Domain;en;;2017-08-28T09:47:26+00:00;;;2018-08-01T08:26:28+00:00;2018-10-17T12:51:34+00:00;General Authority for Statistics;https://stats.gov.sa/en/214;52;Kingdom's  Import for the years;;;;;;;;2017-07-30;;;;;Annually;;1991 - 2016;Country;;;;;;;;;;;;;;;;;;;;;;;;9
budget-appropriations-for-transportation-and-communications-by-sector-1999-2009;2018-09-12;;Ministry of Finance;Saudi Arabia;EMEA;www.stats.gov.sa/en/page/45;Public;;;;Million S.R.;;Budget Appropriations for Transportation and Communications, by Sector;"<table><tbody><tr><td>This dataset contains Saudi Arabia Budget Appropriations for Transportation and Communications, by Sector for 1999 - 2016. Data from General Authority for Statistics .  Export API data for more datasets to advance energy economics research.<br/><br/></td><td></td><td></td></tr><tr><td><ul><li>Source : Government Budget Department, Ministry of Finance.</li></ul></td><td></td><td></td></tr><tr><td><ul><li>Figures include appropriations for capital projects.</li></ul></td><td></td><td></td></tr><tr><td><ul><li>As of the fiscal year 1421/1422 A.H, Saudi Arabian Airlines was being financed by its revenues.</li></ul></td><td></td><td></td></tr><tr><td><ul><li>Appropriations approved for Saudi Post are part of Communications Ministry's ones</li></ul></td><td></td><td></td></tr><tr><td><ul><li>We have used middle of the range in the below listing<br/><a href=""https://sites.google.com/site/islamandthequran/islamic-years-converted-to-christian-years"">https://sites.google.com/site/islamandthequran/islamic-years-converted-to-christian-years</a>E.g. <br/>1427AH 2006 - 2007AD<br/>1428AH 2007 - 2008AD We have used 2007 since it’s in the middle of the range between 2006 and 2008.</li></ul></td><td></td><td></td></tr></tbody></table>";Transportation, Economy;Budget;Public Domain;en;;2017-08-29T06:42:53+00:00;;;2018-09-12T11:03:08+00:00;2018-09-12T11:03:08+00:00;General Authority for Statistics;https://www.stats.gov.sa/en/871;108;7-1, Transport and Telecommuniction Budgetary Allocations by Sector;;;;;;;;;Ministry of Finance;;;;Annually;;1999 - 2016;Country;;;;;;;;;;;;;;;;;;;;;;;;40
trade-statistics;2018-10-17;;;Oman;EMEA;https://data.gov.om/legal/termsofuse;Public;;;No;;Annualy;Trade Statistics;"<p>This dataset contains Oman Trade Statistics for 2002 - 2016 From National Center for Statistics and Information, Sultanate of Oman,Follow <a href=""https://datasource.kapsarc.org/"" style=""font-family: inherit;"">datasource.kapsarc.org</a> for timely data to advance energy economics research.</p>";Trade;Merchandise Exports, Trade Balance, Trade Exchange;Public Domain;en;;2017-08-29T12:39:39+00:00;;;2018-08-01T10:15:59+00:00;2018-10-17T12:39:39+00:00;National Center for Statistics and Information, Sultanate of Oman;https://data.gov.om/data#topic=Trade+and+Industry;45;Foreign Trade;;;;;;;2016-11-13;2016-11-13;;;;;Annually;;2002 - 2016;Country;;;;;;;;;;;;;;;;;;;;;;;;38
reforming-industrial-fuel-and-residential-electricity-prices-in-saudi-arabia;;;;Saudi Arabia;EMEA;http://www.kapsarc.org/terms-conditions/;Public;;;;;;Reforming Industrial Fuel and Residential Electricity Prices in Saudi Arabia;"<p><strong>About the Project</strong></p>
<p>We developed the KAPSARC Energy Model (KEM) for Saudi Arabia to understand the dynamics of the country’s energy system. It is a partial equilibrium model formulated as a mixed complementarity problem to capture the administered prices that permeate the local economy. KEM has been previously used to study the impacts of various industrial fuel pricing policies, improved residential energy efficiency on the energy economy, the feasibility of installing coal-fired power plants in Saudi Arabia, and to computationally analyze residential time-of-use electricity tariffs. In the present paper, we apply the model to look at the demand response of households in Saudi Arabia to changing electricity prices.</p>
<p><strong>Key Points</strong></p>
<p>The Saudi electricity sector buys fuel and sells electricity at prices administered by the government. In this analysis, we assume that fuel prices are deregulated — priced at their marginal values or international equivalents — and use a long-term static version of the KAPSARC Energy Model (KEM) for Saudi Arabia. This allows a better understanding of the economic effects of energy price reform packages by providing illustrative estimates of their impacts. We do not propose a specific package of reforms, but seek to show the different channels by which the Saudi economy can benefit. </p>
<p>We expand on previous KAPSARC analyses by combining the price reform of fuels used in power plants with the implementation of alternative electricity pricing schemes for households. In particular, we examine the differences between ‘lifeline’, average-cost and marginal-cost electricity pricing policies for residential customers. </p>
<p>Compared with business as usual (a scenario replicating the year 2015), we find: </p>
<p>Energy system-wide benefits of nearly $4 billion per year could be achieved by deregulating fuel input prices, valuing the oil saved at the 2015 average world oil price. Most of these benefits stem from the ability to export more crude oil than otherwise would have been the case. </p>
<p>The total gain to the energy system, however, increases to $12 billion per year by raising electricity prices to households to reflect the cost of supply. Much of this gain is due to the decline in electricity consumption in response to the higher prices. </p>
<p>Without any mitigation for the lowest income households, these consumers would pay an additional $3 billion in electricity costs. However, lifeline prices would halve this burden while maintaining greater economic gains than by only deregulating fuel input prices. </p>
<p>The average electricity price paid under the lifeline scenario would be a more manageable 4.0 cents per kWh, versus an average marginal-cost price of 7.1 cents per kWh, and an average cost price of 7.70 cents per kWh. </p>
<p>In the alternative electricity pricing scenarios we study, natural gas usage by the power utilities falls, allowing gas to flow to other industries, which would consume it to reduce their costs. We find the marginal values of natural gas falling at higher electricity prices, indicating that the supply of gas is becoming less constrained. In these scenarios, lower fuel consumption and investment costs contribute to the policies’ gains. </p>";KAPSARC Publications;;Open Database License (ODbL);en;;2017-08-29T13:22:33+00:00;;;;2018-11-21T07:02:45+00:00;King Abdullah Petroleum Studies And Research Center;https://www.kapsarc.org/wp-content/uploads/2017/08/KS-2017-DP018-Reforming-Industrial-Fuel-and-Residential-Electricity-Prices-in-Saudi-Arabia.pdf;0;Murad Anwer, Walid Matar;;;;;;;2017-08-29;2017-08-29;King Abdullah Petroleum Studies And Research Center;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
transitioning-to-liberalized-energy-markets;;;;Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates;EMEA;http://www.kapsarc.org/terms-conditions/;Public;;;;;;Transitioning to Liberalized Energy Markets;"<p><strong>About the Project</strong></p>
<p>The workshop series Energy System Modeling provides a forum to discuss the role of models in formulating and analyzing energy policies. The workshop series has been focusing on timely themes that are both technical and policy-relevant. Insights from these workshops are expected to help foster a common understanding among creators and consumers of models, enriching our future research direction.</p>
<p><strong>Key Points</strong></p>
<p>Some countries have successfully navigated the transition to using a free market to provide energy more efficiently, while others are only just embarking on this journey. This transition is a lengthy, costly and complex process. Consequently, lessons learned from their experiences can help improve policy formulation in Gulf Cooperation Council (GCC) countries that are themselves at various stages of the reform process. KAPSARC’s workshop focused on the electricity sector and offered the following policy insights. </p>
<p>Successful reform requires institutions as well as institutional capabilities to manage the transition process, and an adequate market size for a competitive market to function. For example, it is unclear whether the individual GCC members’ power markets are large enough to support competitive trading and if they have developed the institutional capabilities to make it work.</p>
<p>The single buyer model market structure is seen as the way to improve the security and reliability of electricity supply. However, this comes with a risk that power producers may over invest in generation capacity because they are receiving state guaranteed returns on capacity additions, thereby creating long-term fiscal liabilities. </p>
<p>Alternatively, a hybrid reform model that, along with an entity buying a major portion of electricity, allows independent power producers (IPPs) to sell electricity directly to end-consumers through bilateral contracts and a spot market can minimize government intervention and thus fiscal risk. But this hybrid reform model has higher implementation costs. </p>
<p>Reforms in the GCC region have several objectives: improving the power sector’s efficiency, attracting new investments and removing fuel subsidies. The reform agenda in the GCC presents new opportunities, such as intra-regional electricity trading among GCC countries. It also offers challenges, including providing incentives to invest in renewables, managing reliable electricity supply and balancing fiscal budgets.</p>";KAPSARC Publications;Workshop Series ;Open Database License (ODbL);en;;2017-08-29T13:22:33+00:00;;;;2018-11-21T07:02:45+00:00;King Abdullah Petroleum Studies And Research Center;https://www.kapsarc.org/wp-content/uploads/2017/08/KS-2017-WB07-Transitioning-to-Liberalized-Energy-Markets_.pdf;0;;;;;;;;2017-08-29;2017-08-29;King Abdullah Petroleum Studies And Research Center;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
oil-reserves-1980-2016-copy-copy;2018-03-06;;;United Arab Emirates, Saudi Arabia, Qatar, Kuwait, Bahrain, Oman;EMEA;https://www.eia.gov/about/copyrights_reuse.php;Public;;;;Billion Barrels ;;Oil Reserves;"<p>This open dataset contains United Arab Emirates total oil reserves data, annually </p><p>Billion bbl</p><p>Follow <a href=""http://datasource.kapsarc.org/"" target=""_blank"">datasource.kapsarc.org</a> and it’s APIs to stay in sync and advance energy economics research.</p>";Crude Oil & Refined Products;Reserves;Public Domain;en;;2017-08-29T21:25:35+00:00;;;2018-11-16T13:11:07+00:00;2018-11-21T13:04:07+00:00;US Energy Information Administration;https://www.eia.gov/beta/international/data/browser/#/?pa=0000000000000000000008&c=0g00800000000000000000002000000000200011&ct=0&tl_id=5-A&vs=INTL.57-6-BHR-BB.A&cy=2016&vo=0&v=H;9411;;;;;;;;;;;;;;Annually ;;1980-2017;Country;;;;;;;;;;;;;;;;;;;;;;;;163
gcc-gross-domestic-product-at-current-prices-1965-2015;2018-05-09;;Check the Notes;World;WORLD;http://go.worldbank.org/OJC02YMLA0;Public;;;;U.S. Dollars;;Gross Domestic Product at Current Prices;"<p>This dataset contains world Gross Domestic Product at Current Prices for 1960 - 2016. Data from The World Bank. Follow <a href=""https://datasource.kapsarc.org/"">https://datasource.kapsarc.org/</a>for timely data to advance energy economics research. </p><p><a href=""http://www.worldbank.org/"">© 2016                             The World Bank Group, All Rights Reserved.</a></p><p>In US$<br/>         </p><p>Qatar:   Based on data from   the Qatar Ministry of Development Planning and Statistics and the Qatar   Central Bank, the new base year is 2013. </p><p>Saudi Arabia:Based on data from the Saudi Central Department of Statistics and Information under the authority of the Ministry of Economy and Planning.</p><p>Bahrain:   Based on official government statistics; the new   base year is 2010. </p><p>United Arab   Emirates   April 2013 database update: Based on data from the   National Bureau of Statistics, national accounts data were revised for 2001   onward; the base year changed to 2007. </p><p>Oman   Based on official government statistics; the new   base year is 2010. </p><p>Kuwait   Fiscal year end: June 30; reporting period for   national accounts data: CY. Based on official government statistics; the new   base year is 2010.</p>";Economy;GDP, National Accounts;Public Domain;en;;2017-08-30T11:59:56+00:00;;;2018-05-09T15:30:42+00:00;2018-05-09T15:30:43+00:00;The World Bank;https://data.worldbank.org/indicator/NY.GDP.MKTP.CD;11562;"""GDP (current US$) """;;;;;;;;2017-08-02;;;;;Yearly;;1960-2016;World;;;;;;;;;;;;;;;;;;;;;;;;56
average-domestic-tariff-250-3000-kwhmonth;2018-09-17;;;Saudi Arabia, United Arab Emirates, Kuwait, Bahrain, Oman, Qatar;;http://www.auptde.org/Default.aspx?lang=en;Public;;;;KWh;;Average Domestic Tariff 250-3000 KWh/Month;;Electricity;Tariffs;;en;;2017-09-13T13:10:43+00:00;;;2018-09-17T09:24:19+00:00;2018-09-17T09:24:19+00:00;Arab Union of Electricity;http://www.auptde.org/Publications.aspx?lang=en&CID=67;6;2016 TARIFFS: Average Domestic Tariff  KWh/Month;;;;;;;;;;;;;;;2016;;;;;;;;;;;;;;;;;;;;;;;;;4
invoice-of-domestic-consumption-250-3000-kwhmonth;2018-09-17;;;Saudi Arabia, United Arab Emirates, Kuwait, Bahrain, Oman, Qatar;;http://www.auptde.org/Default.aspx?lang=en;Public;;;;KWh;;Invoice of Domestic Consumption 250-3000 KWh/month;;Electricity;Consumption;;en;;2017-09-13T13:32:14+00:00;;;2018-09-17T09:25:09+00:00;2018-09-17T09:25:09+00:00;Arab Union of Electricity;http://www.auptde.org/Publications.aspx?lang=en&CID=67;6;2016 TARIFFS: Invoice of 250-3000 KWh/month. $ /month;;;;;;;;;;;;;;;2016;;;;;;;;;;;;;;;;;;;;;;;;;5
how-to-achieve-economic-prosperity-through-industrial-energy-productivity-improv;;;;Saudi Arabia;EMEA;http://www.kapsarc.org/terms-conditions/;Public;;;;;;The Economic Impact of Price Controls on Chinaâ€™s Natural Gas Supply Chain;"<p><strong>About the Project</strong></p>
<p>KAPSARC and ERI are working together to prepare a joint report comprising of a comparative review of the status of energy productivity and associated policies in Saudi Arabia and China. The review will assess the current status and future plans of industrial development, with a focus on energy efficiency, and discuss the policy practices that might be relevant and valuable for the Kingdom drawing on China’s experiences. This study aims to inform activities and deeper collaboration under China’s One Belt One Road Initiative, which is supported by the Kingdom and aligns with investment priorities as part of Saudi Arabia’s Vision 2030.</p>
<p><strong>Key Points</strong></p>
<p>The King Abdullah Petroleum Studies and Research Center (KAPSARC) and the Energy Research Institute (ERI) of China’s National Development and Reform Commission (NDRC) have initiated a joint study into how industrial energy productivity can improve economic prosperity. This study comes at a time of deeper bilateral cooperation under President Xi Jing Ping’s One Belt One Road Initiative and aims to increase understanding of key policies and driving forces around industrial strategy and energy use in Saudi Arabia and China. </p>
<p>Enhancing industrial energy productivity through energy efficiency and diversification has multiple benefits including supporting competitiveness and higher quality jobs while reducing the environmental impact of production. </p>
<p>China has enormous experience capturing these benefits through its system of national energy intensity targets, industrial energy efficiency benchmarks and energy price reform</p>
<p>The Kingdom has set out ambitious plans in its Saudi Vision 2030 to reduce the economy’s reliance on oil through a program of privatization, diversification, renewable energy, energy efficiency and energy price reform among other initiatives.</p>
<p>Greater efforts to share international experiences in energy productivity can play an important role in supporting investment conditions aimed at achieving economic transformation and sustainable development goals. </p>";KAPSARC Publications;Workshop Series, Energy efficiency ;Open Database License (ODbL);en;;2017-09-27T13:22:32+00:00;;;;2018-11-21T07:02:45+00:00;King Abdullah Petroleum Studies And Research Center;https://www.kapsarc.org/wp-content/uploads/2018/05/KS-2018-DP31-The-Economic-Impact-of-Price-Controls-on-Chinaâ€™s-Natural-Gas-Supply-Chain.pdf;0;;;;;;;;2018-05-24;2018-05-24;King Abdullah Petroleum Studies And Research Center;Energy Research Institute;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
imports-of-refined-petroleum-products;2018-11-12;;Ministry of Energy;United Arab Emirates;EMEA;http://fcsa.gov.ae/en-us/Pages/Footer%20Links/Copyrights.aspx;Public;;;;Metric Ton;;Imports of Refined Petroleum Products;<p>This dataset contains Imports of Refined Petroleum Products for- 2011-2018. Data from Federal Competitiveness and Statistics Authority. Follow datasource.kapsarc.org for timely data to advance energy economics research.</p>;Crude Oil & Refined Products;Imports;Public Domain;en;;2017-09-28T05:44:39+00:00;False;False;2018-09-11T09:02:19+00:00;2018-11-12T11:37:37+00:00;Federal Competitiveness and Statistics Authority;http://fcsa.gov.ae/en-us/Pages/Statistics/Statistics-by-Subject.aspx;39;Table 7: Imports  of  Refined Petroleum Products, 2011-2015 (000 Metric Ton);;;;;;;;;;;;;Yearly;;2011-2015;;;;;;;;;;;;;;;;;;;;;;;;;4
saudi-population-10-years-and-over-by-gender-age-groups-and-educational-status;2018-10-17;;;Saudi Arabia;EMEA;https://www.stats.gov.sa/en/page/45;Public;;;;;Annualy;Saudi Population ( 10 Years And Over) By Gender, Age Groups And Educational Status;"<p>This dataset contains Saudi Arabia, Population (10 Years And Over) By Gender, Age Groups And Educational Status for 2016 from General Authority for Statistics. Follow <a href=""https://datasource.kapsarc.org/"">datasource.kapsarc.org</a> for timely data to advance energy economics research.</p><p>Demographic Survey 2016</p>";Demography;Population, University , Primary , Intermediate , Higher Diploma;Public Domain;en;;2017-10-01T11:06:40+00:00;;;2018-07-17T12:41:37+00:00;2018-10-17T10:07:32+00:00;General Authority for Statistics;https://www.stats.gov.sa/en/852;429;Saudi Population (10 years and over) by Age Groups and Educational Status, Saudi Male Population ( 10 years and over ) by Age Groups and Educational Status, Saudi Female Population ( 10 years and over ) by Age Groups and Educational Status;;;;;;;;2017-01-12;;;;;Annually;;2016;Country;;;;;;;;;;;;;;;;;;;;;;;;11
ksa_households-and-individuals-by-no-of-internet-users_2007;2018-10-18;;;Saudi Arabia;EMEA;https://www.stats.gov.sa/en/page/45;Public;;;;;Annualy;Saudi Housing Units , Households and Individuals by No. of Internet Users;"<p>This dataset contains Saudi Arabia Households and Individuals by No. of Internet Users  General Authority for Statistics Housing, Export API data for more datasets to advance energy economics research. Follow <a href=""datasource.kapsarc.org"">datasource.kapsarc.org</a> for timely data to advance energy economics research.</p><p>2016 Demographic Survey</p>";Demography, Residential;Housing, Users, Residential;Open Database License (ODbL);en;;2017-10-01T12:51:49+00:00;;;2018-10-18T05:57:52+00:00;2018-10-18T06:04:07+00:00;General Authority for Statistics;https://www.stats.gov.sa/en/854-0;195;Housing Units ( Occupied With Saudi Households ), Households and Individuals by No. of Internet Users, Continued Table (40);;;;;;;;2017-01-12;;;;;Annually;;2016;Country;;;;;;;;;;;;;;;;;;;;;;;;13
distribution-of-land-use-by-emirate;;;Ministry of Climate Change & Environment;United Arab Emirates;EMEA;http://fcsa.gov.ae/en-us/Pages/Footer%20Links/Copyrights.aspx;Public;;;;Area: Donum;;Distribution of Land Use by Emirate;<p>- Area: Donum</p><p>- Total in some tables may not add up due to rounding.</p><p>- Source of Abu Dhabi data: Statistic center- Abu Dhabi</p>;Agriculture;Land use;Public Domain;en;;2017-10-02T07:49:34+00:00;;;2017-10-02T08:29:07+00:00;2017-10-02T08:29:08+00:00;Federal Competitiveness and Statistics Authority;http://fcsa.gov.ae/en-us/Pages/Statistics/Statistics-by-Subject.aspx;42;Table 1: Distribution of Land Use by Emirate, 2015  (Area: Donum)2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17
value-of-physical-inputs-used-for-commercial-farms;;;;United Arab Emirates;EMEA;http://fcsa.gov.ae/en-us/Pages/Footer%20Links/Copyrights.aspx;Public;;;;Value: 000 AED;;Value of Physical Inputs Used for Commercial Farms;"<p>-Value: 000 AED</p><p>-Source:Commercial Farms Survey \ Federal Competitiveness &amp; Statistics Authority</p>";Agriculture;;Public Domain;en;;2017-10-02T12:34:26+00:00;;;2017-10-03T07:39:38+00:00;2017-10-03T07:39:38+00:00;Federal Competitiveness and Statistics Authority;http://fcsa.gov.ae/en-us/Pages/Statistics/Statistics-by-Subject.aspx;23;Table 6: Value of Physical Inputs Used for Commercial Farms, 2015 (Value: 000 AED);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33
the-international-conventions-related-to-the-environment;;;Ministry of Climate Change & Environment ;United Arab Emirates;EMEA;;Public;;;;;;The International Conventions Related to the Environment;;Environment;Protocol, Agreement;Public Domain;en;;2017-10-03T05:27:03+00:00;;;2017-10-08T05:18:37+00:00;2017-10-08T05:18:37+00:00;Federal Competitiveness and Statistics Authority;http://fcsa.gov.ae/en-us/Pages/Statistics/Statistics-by-Subject.aspx;31;Table 1: The International Conventions Related to the Environment in United Arab Emirates, until the last updated in 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
installed-capacity-of-desalinated-water-plants-by-authority;;;Ministry of Energy;United Arab Emirates;EMEA;;Public;;;;MCM / Day;;Installed Capacity of Desalinated Water Plants by Authority;<p>Unit: MCM / Day</p>;Water;desalination, Capacity;Public Domain;en;;2017-10-03T08:34:09+00:00;;;2017-10-08T06:59:11+00:00;2017-10-08T06:59:12+00:00;Federal Competitiveness and Statistics Authority;http://fcsa.gov.ae/en-us/Pages/Statistics/Statistics-by-Subject.aspx;4;Installed Capacity of Desalinated Water Plants by Authority, 2007-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7
quantity-of-produced-water-by-authority;;;Ministry of Energy;United Arab Emirates;EMEA;;Public;;;;MCM;;Quantity of Produced Water by Authority;<p>Unit: MCM</p>;Water;Production, Water Production;Public Domain;en;;2017-10-03T12:08:06+00:00;;;2017-10-08T06:54:13+00:00;2017-10-08T06:54:14+00:00;Federal Competitiveness and Statistics Authority;http://fcsa.gov.ae/en-us/Pages/Statistics/Statistics-by-Subject.aspx;4;Quantity of  Produced Water by Authority, 2007-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
quantity-of-used-water-by-authority;;;Ministry of Energy;United Arab Emirates;EMEA;;Public;;;;MCM;;Quantity of Used Water by Authority;"<p>-Unit: MCM</p><p>- Abu Dhabi Water &amp; Electricity Authority (ADWEA) data is Water Quantities Used in the Emirate of Abu Dhabi Only.</p>";Water;Water Consumption;Public Domain;en;;2017-10-03T12:20:43+00:00;;;2017-10-08T06:47:28+00:00;2017-10-08T06:47:29+00:00;Federal Competitiveness and Statistics Authority;http://fcsa.gov.ae/en-us/Pages/Statistics/Statistics-by-Subject.aspx;4;Quantity of Used Water by Authority, 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
quantity-of-used-water-in-united-arab-emirates;;;Ministry of Energy;United Arab Emirates;EMEA;;Public;;;;MCM;;Quantity of Used Water in United Arab Emirates;<p>Unit: MCM</p>;Water;water, usage, total;Public Domain;en;;2017-10-03T12:30:25+00:00;;;2017-10-08T06:40:51+00:00;2017-10-08T06:40:51+00:00;Federal Competitiveness and Statistics Authority;http://fcsa.gov.ae/en-us/Pages/Statistics/Statistics-by-Subject.aspx;9;Quantity of Used Water  in United Arab Emirates, 2007-2015  (MCM);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
number-of-wastewater-treatments-plants-daily-designed-actual-hydraulic-flow-volu;;;;United Arab Emirates;EMEA;;Public;;;;;;Number of Wastewater Treatments Plants, Daily Designed, Actual Hydraulic Flow, Volume of Wastewater influent and Treated Wastewater Produced by Emirate;<p>- Dubai data doesn't include  private sector plants</p>;Water;water inflow, Hydraulic, flow,  wastewater, Waste;;en;;2017-10-03T12:45:18+00:00;;;2017-10-08T05:52:54+00:00;2017-10-08T05:52:54+00:00;Federal Competitiveness and Statistics Authority;http://fcsa.gov.ae/en-us/Pages/Statistics/Statistics-by-Subject.aspx;7;Number of Wastewater Treatments Plants, Daily Designed, Actual Hydraulic Flow, Volume of Wastewater influent and Treated Wastewater Produced by Emirate, 2016.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
number-of-desalinated-water-plants-by-type-and-authority;;;Ministry of Energy;United Arab Emirates;EMEA;;Public;;;;;;Number of Desalinated Water Plants by Type and  Authority;<p>- Abu Dhabi data from Annual Statistical Report of Abu Dhabi Water and Electricity Company 2015</p>;Water;desalination, Station;Public Domain;en;;2017-10-04T05:17:45+00:00;;;2017-10-08T06:38:24+00:00;2017-10-08T06:38:24+00:00;Federal Competitiveness and Statistics Authority;http://fcsa.gov.ae/en-us/Pages/Statistics/Statistics-by-Subject.aspx;4;Number of Desalinated Water Plants by Type and  Authority, 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
water-tariff-by-daily-consumption-slab-rate-and-sector-in-abu-dhabi-water-electr;;;Ministry of Energy;United Arab Emirates;EMEA;;Public;;;;AED / 1,000 liters;;Water Tariff by Daily Consumption Slab Rate and Sector in Abu Dhabi Water & Electricity Authority;<p>Unit: AED / 1,000 liters</p>;Water, Industry, Residential;Water Consumption, Tariffs;Public Domain;en;;2017-10-04T05:39:03+00:00;;;2018-02-19T11:40:49+00:00;2018-02-19T11:40:49+00:00;Federal Competitiveness and Statistics Authority;http://fcsa.gov.ae/en-us/Pages/Statistics/Statistics-by-Subject.aspx;2;Water Tariff by Daily Consumption Slab  Rate and Sector in Abu Dhabi Water & Electricity Authority (ADWEA), 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
